user,resort,rating,total_ratings,count
1738,Wildcat Mountain,5,37,0.0
4079,Okemo Mountain Resort,1,130,0.0
6794,Hunter Mountain,3,113,0.0
4941,Snowbasin,3,94,0.0
3892,Mt Bachelor,5,101,0.0
2880,Wachusett Mountain Ski Area,2,81,0.0
438,White Pass,5,56,0.0
5733,Ski Sundown,4,39,0.0
7258,Squaw Valley Usa,5,109,0.0
7608,Ski Brule,5,1315,0.0
8461,Snow Creek,2,30,0.0
1927,Vail,5,203,0.0
396,Attitash,1,55,0.0
3040,Terry Peak Ski Area,5,25,0.0
3603,Ski Sundown,1,39,0.0
3357,Ski Brule,5,1315,0.0
5898,Crystal Mountain Wa,4,98,0.0
108,Greek Peak,4,57,0.0
1220,Attitash,5,55,0.0
3751,Ski Brule,4,1315,0.0
2528,Ski Brule,5,1315,0.0
1138,The Summit At Snoqualmie,4,53,0.0
6797,Big Powderhorn Mountain,5,60,0.0
1843,Sugar Mountain Resort,4,127,0.0
4703,Big Sky Resort,5,136,0.0
3226,Killington Resort,5,203,0.0
2569,Big Boulder,4,43,0.0
743,Powderhorn,5,35,0.0
4237,Cannon Mountain,5,60,0.0
4454,Ski Apache,2,168,0.0
4628,Nubs Nob Ski Area,1,55,0.0
4946,Snow Valley,4,59,0.0
1773,Angel Fire Resort,4,111,0.0
7086,Tahoe Donner,4,52,0.0
3333,Sno Mountain,5,133,0.0
2344,Crystal Mountain Wa,4,98,0.0
6455,Angel Fire Resort,1,111,0.0
7816,Jay Peak,5,133,0.0
7066,Copper Mountain Resort,5,138,0.0
3874,Hoodoo Ski Area,3,33,0.0
3886,Blue Mountain Ski Area,3,188,0.0
8195,Windham Mountain,5,61,0.0
2511,Mount Peter Ski Area,4,54,0.0
3502,Bretton Woods,5,82,0.0
7110,Boreal,5,48,0.0
6086,Afton Alps,3,49,0.0
5929,Beaver Creek,5,103,0.0
433,Sunrise Park Resort,4,120,0.0
7486,Brundage Mountain Resort,5,32,0.0
1009,Copper Mountain Resort,4,138,0.0
5505,Caberfae Peaks Ski Golf Resort,2,56,0.0
2559,Ski Brule,5,1315,0.0
8590,Snowbird,5,134,0.0
8383,Sugar Mountain Resort,5,127,0.0
5404,Mt Crescent Ski Area,4,28,0.0
7914,Arizona Snowbowl,4,107,0.0
110,Red River,4,86,0.0
4089,Blue Knob,2,51,0.0
6582,Snowshoe Mountain Resort,4,145,0.0
1615,Tahoe Donner,3,52,0.0
2510,Killington Resort,4,203,0.0
8173,Sugar Mountain Resort,2,127,0.0
7048,Blue Knob,5,51,0.0
6360,Mammoth Mountain Ski Area,5,139,0.0
7574,Killington Resort,5,203,0.0
2095,Attitash,5,55,0.0
1287,Jay Peak,3,133,0.0
4907,Hunter Mountain,5,113,0.0
3568,Whitetail Resort,1,67,0.0
3129,Ski Brule,5,1315,0.0
3126,Ski Brule,4,1315,0.0
7101,Cataloochee Ski Area,4,76,0.0
8190,Devils Head,4,95,0.0
1695,Bogus Basin,4,58,0.0
330,Belleayre,4,88,0.0
7616,Ski Brule,5,1315,0.0
6399,Ski Brule,5,1315,0.0
2721,Ski Brule,4,1315,0.0
5645,Mountain Creek Resort,2,148,0.0
130,Bittersweet Ski Area,5,49,0.0
18,Crested Butte Mountain Resort,4,89,0.0
8581,Stevens Pass Resort,4,102,0.0
2441,Winter Park Resort,1,187,0.0
2432,Mammoth Mountain Ski Area,5,139,0.0
6556,Boyne Highlands,5,45,0.0
664,Ski Brule,5,1315,0.0
2115,Holiday Valley,4,73,0.0
6243,Mammoth Mountain Ski Area,5,139,0.0
5434,Ragged Mountain Resort,5,59,0.0
7976,Cranmore Mountain Resort,4,31,0.0
4865,Boston Mills,4,45,0.0
7410,Hoodoo Ski Area,5,33,0.0
1195,Peekn Peak,3,62,0.0
6083,Killington Resort,4,203,0.0
2668,Wachusett Mountain Ski Area,3,81,0.0
1142,Alyeska Resort,4,43,0.0
53,Ski Brule,5,1315,0.0
3352,Wintergreen Resort,4,67,0.0
5443,Greek Peak,3,57,0.0
1048,Silverton Mountain,5,55,0.0
2779,Ski Brule,5,1315,0.0
8314,Bear Mountain,5,52,0.0
5204,Ski Apache,4,168,0.0
359,Ski Brule,5,1315,0.0
7664,Pebble Creek Ski Area,4,32,0.0
1454,Black Mountain,1,21,0.0
4002,Hoodoo Ski Area,5,33,0.0
4741,Big Boulder,2,43,0.0
7662,Arizona Snowbowl,4,107,0.0
7624,Angel Fire Resort,4,111,0.0
52,Sunrise Park Resort,5,120,0.0
1646,Mountain Creek Resort,4,148,0.0
5466,Whiteface Mountain Resort,5,81,0.0
4928,Powder Mountain,5,85,0.0
3923,Mountain Creek Resort,4,148,0.0
4010,Smugglers Notch Resort,5,82,0.0
800,Ski Brule,5,1315,0.0
6395,Sunday River,5,91,0.0
1395,Killington Resort,5,203,0.0
1548,Ski Brule,4,1315,0.0
5380,Squaw Valley Usa,2,109,0.0
6906,Sugarbush,2,90,0.0
3185,Big Powderhorn Mountain,5,60,0.0
6838,Telluride,5,114,0.0
6986,Labrador Mt,1,21,0.0
2078,Big Sky Resort,5,136,0.0
8134,Bretton Woods,2,82,0.0
3056,Timberline Four Seasons,4,62,0.0
3537,Hunter Mountain,4,113,0.0
2500,Ski Beech Mountain Resort,3,82,0.0
2586,Snowbird,5,134,0.0
4303,Wachusett Mountain Ski Area,3,81,0.0
4012,Attitash,5,55,0.0
6643,Park City Mountain Resort,2,135,0.0
6854,Ski Snowstar Winter Sports Park,5,21,0.0
5171,Stevens Pass Resort,4,102,0.0
991,Bogus Basin,3,58,0.0
7437,Campgaw Mountain,2,32,0.0
2366,Wintergreen Resort,5,67,0.0
6561,Deer Valley Resort,5,98,0.0
6862,Lutsen Mountains,4,85,0.0
1699,Spring Mountain Ski Area,2,63,0.0
7668,Ski Brule,5,1315,0.0
5816,Okemo Mountain Resort,4,130,0.0
5333,Sugar Mountain Resort,1,127,0.0
8253,Perfect North Slopes,4,69,0.0
5233,Eldora Mountain Resort,4,84,0.0
7170,Attitash,4,55,0.0
1521,Mt Hood Ski Bowl,5,42,0.0
7444,Squaw Valley Usa,4,109,0.0
3626,Las Vegas Ski And Snowboard Resort,3,54,0.0
3076,Jay Peak,5,133,0.0
5531,Copper Mountain Resort,3,138,0.0
508,Sno Mountain,5,133,0.0
3053,Northstar California,4,102,0.0
1405,Elk Mountain Ski Resort,5,107,0.0
509,Shanty Creek,5,63,0.0
1489,Brandywine,5,39,0.0
7887,Durango Mountain Resort,5,97,0.0
4266,Vail,5,203,0.0
2910,Mount Holly,5,32,0.0
7756,Telluride,3,114,0.0
6357,Brian Head Resort,4,70,0.0
4197,Telluride,5,114,0.0
3062,Tamarack Resort,2,55,0.0
1187,Wild Mountain Ski Snowboard Area,3,31,0.0
7180,Tahoe Donner,1,52,0.0
935,Ski Brule,5,1315,0.0
2707,Whitetail Resort,1,67,0.0
1972,Loveland,5,107,0.0
2824,Eldora Mountain Resort,4,84,0.0
1491,Alta Ski Area,1,140,0.0
267,Tyrol Basin,1,35,0.0
1115,Sundance,2,37,0.0
500,Bromley Mountain,5,36,0.0
1565,Titus Mountain,3,26,0.0
36,Blue Mountain Ski Area,4,188,0.0
1499,Ski Snowstar Winter Sports Park,3,21,0.0
6274,Ski Brule,5,1315,0.0
431,Wisp,5,73,0.0
4220,Diamond Peak,5,32,0.0
1614,Ski Brule,4,1315,0.0
6891,Kirkwood,5,107,0.0
497,Ski Brule,5,1315,0.0
3828,Ski Apache,2,168,0.0
3287,Shanty Creek,5,63,0.0
7449,Arizona Snowbowl,1,107,0.0
2162,Ski Brule,5,1315,0.0
1104,Alta Ski Area,1,140,0.0
3066,Blue Mountain Ski Area,2,188,0.0
3260,Copper Mountain Resort,5,138,0.0
3718,Holiday Valley,4,73,0.0
2886,Brantling Ski Slopes,5,21,0.0
7878,Whitefish Mountain Resort,5,82,0.0
6056,Breckenridge,4,186,0.0
4367,Heavenly Mountain Resort,5,156,0.0
5899,Shawnee Mountain Ski Area,5,44,0.0
4956,Red River,3,86,0.0
1510,Kirkwood,5,107,0.0
3327,Ski Brule,4,1315,0.0
5761,Ski Beech Mountain Resort,4,82,0.0
6805,Powder Mountain,5,85,0.0
4103,Peekn Peak,3,62,0.0
2772,Ski Brule,5,1315,0.0
4476,Cataloochee Ski Area,5,76,0.0
1840,Brian Head Resort,5,70,0.0
4312,Donner Ski Ranch,5,82,0.0
8428,Hunter Mountain,3,113,0.0
5787,Breckenridge,5,186,0.0
2933,Blue Knob,4,51,0.0
728,Eldora Mountain Resort,1,84,0.0
177,Wintergreen Resort,2,67,0.0
8388,Whitetail Resort,3,67,0.0
7500,Silverton Mountain,5,55,0.0
3773,Vail,3,203,0.0
6708,Kirkwood,5,107,0.0
1847,Pico Mountain At Killington,3,39,0.0
1175,Ski Brule,5,1315,0.0
5676,Great Divide,5,31,0.0
5286,Arapahoe Basin Ski Area,5,138,0.0
3048,Whitefish Mountain Resort,5,82,0.0
5196,Ober Gatlinburg Ski Resort,3,45,0.0
5009,Mount Snow,1,132,0.0
8072,Discovery Ski Area,4,32,0.0
63,Tyrol Basin,3,35,0.0
3279,Bretton Woods,5,82,0.0
5065,Ski Granby Ranch,3,38,0.0
524,Mt Hood Meadows,2,100,0.0
5383,Park City Mountain Resort,2,135,0.0
7187,Caberfae Peaks Ski Golf Resort,4,56,0.0
4863,Sno Mountain,4,133,0.0
2374,Whitetail Resort,3,67,0.0
6332,Mount Ashland,4,25,0.0
6494,Blue Mountain Ski Area,4,188,0.0
5162,Mount Holly,4,32,0.0
709,Sugarloaf,5,53,0.0
5995,Big Sky Resort,5,136,0.0
2028,Vail,5,203,0.0
2695,Whitefish Mountain Resort,4,82,0.0
8579,Stratton Mountain,5,111,0.0
2036,Plattekill Mountain,4,38,0.0
3159,Waterville Valley,5,54,0.0
425,Northstar California,2,102,0.0
204,Berkshire East,1,35,0.0
4245,Gore Mountain,5,83,0.0
4982,Whitetail Resort,4,67,0.0
2058,Wolf Creek Ski Area,5,154,0.0
227,Steamboat,5,150,0.0
2139,Mount Sunapee,3,74,0.0
362,Ski Brule,5,1315,0.0
1715,Ski Brule,5,1315,0.0
867,Magic Mountain,5,38,0.0
2627,Bogus Basin,3,58,0.0
3366,Tyrol Basin,4,35,0.0
4013,Vail,5,203,0.0
4082,Brian Head Resort,5,70,0.0
5559,Deer Valley Resort,3,98,0.0
767,Gunstock,4,41,0.0
8211,Mountain Creek Resort,1,148,0.0
8361,Mt Baldy,1,76,0.0
5435,Angel Fire Resort,5,111,0.0
5459,Breckenridge,5,186,0.0
5566,Snowbird,5,134,0.0
2718,Ski Brule,5,1315,0.0
4306,Ski Brule,5,1315,0.0
7448,Killington Resort,4,203,0.0
7751,Stowe Mountain Resort,1,106,0.0
4709,Red River,5,86,0.0
797,Arapahoe Basin Ski Area,5,138,0.0
6190,Windham Mountain,3,61,0.0
4884,Sun Valley,5,65,0.0
3707,The Summit At Snoqualmie,1,53,0.0
2921,Snow Creek,4,30,0.0
3636,Sugarbush,4,90,0.0
7053,Gore Mountain,4,83,0.0
5847,Sno Mountain,4,133,0.0
2875,Ragged Mountain Resort,2,59,0.0
2822,Okemo Mountain Resort,1,130,0.0
7028,Roundtop Mountain Resort,4,55,0.0
5458,Wolf Creek Ski Area,4,154,0.0
137,Cannon Mountain,5,60,0.0
7529,Nubs Nob Ski Area,5,55,0.0
4211,Ski Brule,5,1315,0.0
912,Park City Mountain Resort,3,135,0.0
463,Keystone,4,140,0.0
5797,Alpine Valley Resort,4,74,0.0
591,Sugarloaf,5,53,0.0
3785,Silverton Mountain,5,55,0.0
224,Winterplace Ski Resort,4,57,0.0
3566,Ski Brule,5,1315,0.0
6440,Crystal Mountain,5,44,0.0
5032,Sno Mountain,5,133,0.0
1806,Kirkwood,5,107,0.0
7144,Paoli Peaks,5,39,0.0
1976,Wintergreen Resort,4,67,0.0
356,Sipapu Ski And Summer Resort,4,56,0.0
8417,Stratton Mountain,4,111,0.0
1437,Alpine Valley,1,28,0.0
7994,West Mountain,2,34,0.0
8338,Powderhorn,5,35,0.0
5112,Campgaw Mountain,1,32,0.0
4705,Alyeska Resort,5,43,0.0
1095,Sugar Mountain Resort,3,127,0.0
3330,Greek Peak,1,57,0.0
938,Snowshoe Mountain Resort,1,145,0.0
6181,Crystal Mountain Wa,5,98,0.0
3055,Sundance,5,37,0.0
1407,Alpine Valley Resort,2,74,0.0
3835,Ski Sundown,5,39,0.0
2981,Mt Baker,1,88,0.0
3332,Sugar Bowl Resort,4,48,0.0
946,Ski Brule,5,1315,0.0
8548,Vail,4,203,0.0
995,Sugarbush,1,90,0.0
8387,Solitude Mountain Resort,5,82,0.0
8310,Ragged Mountain Resort,5,59,0.0
2295,Mt Baker,5,88,0.0
550,Winter Park Resort,4,187,0.0
3243,Nubs Nob Ski Area,5,55,0.0
4310,Ski Brule,5,1315,0.0
5122,Wachusett Mountain Ski Area,3,81,0.0
2574,Crested Butte Mountain Resort,5,89,0.0
2072,Snow Summit,5,60,0.0
7300,Mt Hood Meadows,1,100,0.0
660,Angel Fire Resort,1,111,0.0
7871,Mount Snow,1,132,0.0
1525,Sierra At Tahoe,5,59,0.0
7463,Bittersweet Ski Area,4,49,0.0
1711,Breckenridge,4,186,0.0
899,Beaver Creek,4,103,0.0
1663,Mount Snow,5,132,0.0
1443,Sunday River,5,91,0.0
3797,Silverton Mountain,5,55,0.0
2357,Ski Brule,5,1315,0.0
4766,Canaan Valley Resort,5,37,0.0
4988,Welch Village,2,39,0.0
4524,Squaw Valley Usa,5,109,0.0
1341,Timberline Lodge,5,42,0.0
8247,Soda Springs,1,25,0.0
313,Mt Bachelor,5,101,0.0
7458,Aspen Snowmass,5,62,0.0
7034,Ski Brule,5,1315,0.0
1087,Stratton Mountain,5,111,0.0
7623,Mad River Mountain,5,72,0.0
1953,Ski Brule,4,1315,0.0
6489,Breckenridge,1,186,0.0
6627,Liberty,3,68,0.0
2430,Welch Village,1,39,0.0
8568,Blue Knob,5,51,0.0
6606,Sunburst,4,32,0.0
5258,Mccauley Mountain Ski Center,5,20,0.0
4359,Killington Resort,1,203,0.0
4480,Ski Brule,4,1315,0.0
4825,Breckenridge,4,186,0.0
4412,Blue Mountain Ski Area,1,188,0.0
926,Wildcat Mountain,5,37,0.0
5759,49 Degrees North,5,60,0.0
4042,Stratton Mountain,5,111,0.0
434,Wolf Creek Ski Area,5,154,0.0
4236,Mount Sunapee,1,74,0.0
194,Brian Head Resort,3,70,0.0
1171,Schweitzer,3,70,0.0
6336,Burke Mountain,5,33,0.0
4680,Mount Snow,5,132,0.0
6742,Sugar Mountain Resort,1,127,0.0
2775,Monarch Mountain,2,71,0.0
6218,Killington Resort,5,203,0.0
2547,Alpental,4,54,0.0
682,Snowbasin,5,94,0.0
6312,Blue Mountain Ski Area,5,188,0.0
1761,Durango Mountain Resort,4,97,0.0
3148,Telluride,5,114,0.0
6109,Stevens Pass Resort,3,102,0.0
7569,Beaver Creek,5,103,0.0
5946,Hoodoo Ski Area,4,33,0.0
969,Mt Crescent Ski Area,1,28,0.0
4701,Greek Peak,3,57,0.0
8070,Mammoth Mountain Ski Area,5,139,0.0
3620,Bear Valley,5,57,0.0
6152,Mammoth Mountain Ski Area,3,139,0.0
1039,Ski Brule,5,1315,0.0
6896,Jay Peak,1,133,0.0
1861,Hidden Valley Ski Area,4,33,0.0
1981,Grand Targhee Resort,5,64,0.0
1430,Okemo Mountain Resort,5,130,0.0
6289,Vail,2,203,0.0
990,Ski Brule,5,1315,0.0
782,Mountain High,3,80,0.0
1848,Winter Park Resort,5,187,0.0
4181,Dodge Ridge,5,67,0.0
5298,Lutsen Mountains,5,85,0.0
4608,Snow Summit,5,60,0.0
4122,Wintergreen Resort,5,67,0.0
5844,Timberline Four Seasons,5,62,0.0
8079,Durango Mountain Resort,4,97,0.0
91,Devils Head,3,95,0.0
5737,Jay Peak,3,133,0.0
1818,Ski Brule,5,1315,0.0
8270,Sno Mountain,3,133,0.0
1381,Tamarack Resort,5,55,0.0
4144,Sno Mountain,5,133,0.0
4117,Boyne Highlands,2,45,0.0
5281,Gore Mountain,4,83,0.0
3017,Ski Brule,5,1315,0.0
3564,Mountain Creek Resort,3,148,0.0
2672,Alta Ski Area,5,140,0.0
3780,Pebble Creek Ski Area,5,32,0.0
6488,Mt Baker,5,88,0.0
8258,Snowshoe Mountain Resort,4,145,0.0
4747,Sun Valley,5,65,0.0
3416,Big Powderhorn Mountain,4,60,0.0
3305,Whitefish Mountain Resort,4,82,0.0
5512,Winter Park Resort,4,187,0.0
7153,Stowe Mountain Resort,3,106,0.0
2160,Jackson Hole,5,103,0.0
7103,Chestnut Mountain Resort,5,41,0.0
6789,Cascade Mountain,4,64,0.0
1331,Mt Hood Ski Bowl,3,42,0.0
3473,Tamarack Resort,5,55,0.0
3973,Snowbasin,4,94,0.0
3592,Ski Brule,5,1315,0.0
1421,Mt Baker,5,88,0.0
3778,Roundtop Mountain Resort,3,55,0.0
3930,Wild Mountain Ski Snowboard Area,3,31,0.0
1723,Grand Geneva,4,21,0.0
32,Peekn Peak,5,62,0.0
5238,Bluewood,4,26,0.0
2740,Wild Mountain Ski Snowboard Area,4,31,0.0
707,West Mountain,5,34,0.0
2439,Stowe Mountain Resort,1,106,0.0
3162,Shawnee Peak,4,30,0.0
5190,Crystal Mountain Wa,1,98,0.0
1717,Ski Brule,5,1315,0.0
3760,Pine Mountain,1,56,0.0
8226,Tahoe Donner,4,52,0.0
7219,Windham Mountain,5,61,0.0
3219,Wisp,1,73,0.0
7781,Vail,4,203,0.0
1901,Ski Brule,5,1315,0.0
1993,Ski Brule,5,1315,0.0
7385,Ski Butternut,3,62,0.0
6736,Mt Hood Meadows,4,100,0.0
2334,Canaan Valley Resort,4,37,0.0
6900,Ski Brule,4,1315,0.0
5141,Tussey Mountain,4,20,0.0
2583,Stratton Mountain,5,111,0.0
2385,Las Vegas Ski And Snowboard Resort,1,54,0.0
531,Indianhead Mountain,5,115,0.0
2694,Schweitzer,5,70,0.0
6572,Brandywine,5,39,0.0
545,Cascade Mountain,5,64,0.0
1657,Mount Sunapee,4,74,0.0
3147,Pajarito Mountain Ski Area,5,34,0.0
4739,June Mountain,5,33,0.0
1898,Ski Brule,4,1315,0.0
35,Smugglers Notch Resort,2,82,0.0
4787,Smugglers Notch Resort,5,82,0.0
58,Wolf Creek Ski Area,4,154,0.0
1581,Hunter Mountain,3,113,0.0
2110,Jackson Hole,4,103,0.0
2399,Mt Rose Ski Tahoe,3,49,0.0
5197,Wintergreen Resort,2,67,0.0
2818,Snow Summit,5,60,0.0
1694,Stevens Pass Resort,1,102,0.0
6948,Powder Mountain,4,85,0.0
196,Marquette Mountain,2,26,0.0
733,Jiminy Peak,5,80,0.0
2331,Ski Brule,5,1315,0.0
4990,Pebble Creek Ski Area,5,32,0.0
1985,Arapahoe Basin Ski Area,5,138,0.0
3231,Ski Brule,5,1315,0.0
3002,Loon Mountain,1,86,0.0
4796,Swiss Valley,2,27,0.0
5340,Wisp,4,73,0.0
368,Plattekill Mountain,5,38,0.0
1177,Loon Mountain,5,86,0.0
3234,Alpental,3,54,0.0
7738,Mt Baker,5,88,0.0
5943,Ski Brule,4,1315,0.0
3030,White Pass,5,56,0.0
7586,Lutsen Mountains,5,85,0.0
3798,Gore Mountain,4,83,0.0
2047,Holiday Valley,5,73,0.0
1280,Boyne Mountain Resort,5,50,0.0
2502,Lutsen Mountains,3,85,0.0
8467,Camelback Mountain Resort,1,145,0.0
663,Ski Brule,5,1315,0.0
3401,Donner Ski Ranch,1,82,0.0
7414,Catamount Ski Ride Area,5,59,0.0
5557,Jackson Hole,4,103,0.0
2107,Red River,1,86,0.0
8067,Sugarbush,5,90,0.0
661,Ski Brule,5,1315,0.0
1639,Sugar Bowl Resort,5,48,0.0
4866,Willamette Pass,5,52,0.0
4406,Crystal Mountain,2,44,0.0
6075,Heavenly Mountain Resort,4,156,0.0
6977,Alpine Valley,2,28,0.0
4992,Silverton Mountain,5,55,0.0
2197,Ski Brule,5,1315,0.0
7880,Kirkwood,5,107,0.0
7143,Bolton Valley,1,47,0.0
6525,Wolf Creek Ski Area,4,154,0.0
3645,Pico Mountain At Killington,5,39,0.0
5948,Telluride,5,114,0.0
8546,Shanty Creek,2,63,0.0
8298,Lookout Pass Ski Area,5,69,0.0
748,Snowbird,1,134,0.0
1464,Whitefish Mountain Resort,4,82,0.0
3005,Eldora Mountain Resort,5,84,0.0
4024,Boyne Mountain Resort,1,50,0.0
5092,Mount Holly,4,32,0.0
674,Jackson Hole,5,103,0.0
7365,Squaw Valley Usa,5,109,0.0
2070,Ski Brule,5,1315,0.0
8478,Squaw Valley Usa,4,109,0.0
1130,Timberline Four Seasons,2,62,0.0
3506,Whitetail Resort,5,67,0.0
3852,Shawnee Mountain Ski Area,5,44,0.0
7172,Plattekill Mountain,5,38,0.0
299,Sno Mountain,3,133,0.0
2679,Bear Valley,5,57,0.0
3810,Hunter Mountain,4,113,0.0
6773,Buck Hill,4,34,0.0
1617,Grand Geneva,5,21,0.0
7369,Monarch Mountain,5,71,0.0
164,Campgaw Mountain,1,32,0.0
7859,Big Boulder,4,43,0.0
2288,Windham Mountain,5,61,0.0
7912,Wisp,5,73,0.0
1103,Wolf Creek Ski Area,5,154,0.0
5179,Alpental,4,54,0.0
6478,Roundtop Mountain Resort,1,55,0.0
1046,Whiteface Mountain Resort,5,81,0.0
7726,Mount Snow,5,132,0.0
7042,Crested Butte Mountain Resort,5,89,0.0
6763,Roundtop Mountain Resort,5,55,0.0
6785,Mohawk Mountain,5,44,0.0
3668,Jiminy Peak,4,80,0.0
4671,Lost Trail Powder Mtn,5,30,0.0
1096,Ski Brule,4,1315,0.0
6964,Snowbird,1,134,0.0
4933,Brighton Resort,4,73,0.0
6722,Camelback Mountain Resort,4,145,0.0
170,Snowbird,5,134,0.0
695,Mammoth Mountain Ski Area,5,139,0.0
1634,Northstar California,4,102,0.0
2619,Park City Mountain Resort,5,135,0.0
4642,Stowe Mountain Resort,1,106,0.0
4522,Sno Mountain,5,133,0.0
6920,Sundance,5,37,0.0
4366,Vail,5,203,0.0
1693,Blacktail Mountain Ski Area,5,24,0.0
532,Ski Sundown,2,39,0.0
7533,Elk Mountain Ski Resort,4,107,0.0
1636,Beaver Creek,1,103,0.0
3441,Shanty Creek,2,63,0.0
3989,Steamboat,5,150,0.0
3826,Okemo Mountain Resort,4,130,0.0
2701,Brighton Resort,5,73,0.0
6438,Park City Mountain Resort,5,135,0.0
303,Steamboat,1,150,0.0
4052,Vail,5,203,0.0
7397,Steamboat,5,150,0.0
7920,Big Sky Resort,5,136,0.0
2490,Mountain Creek Resort,2,148,0.0
3758,Gunstock,1,41,0.0
1311,Crested Butte Mountain Resort,5,89,0.0
2023,Mountain High,5,80,0.0
5762,Squaw Valley Usa,5,109,0.0
1198,Sandia Peak,3,33,0.0
3304,Ski Brule,5,1315,0.0
6822,Timber Ridge,2,30,0.0
5342,Breckenridge,4,186,0.0
8489,Blue Mountain Ski Area,3,188,0.0
5058,Brandywine,5,39,0.0
81,Ski Brule,5,1315,0.0
5042,Tahoe Donner,5,52,0.0
7851,Okemo Mountain Resort,4,130,0.0
1758,Granite Peak Ski Area,5,111,0.0
1111,Smugglers Notch Resort,1,82,0.0
2997,Ski Brule,5,1315,0.0
3799,Killington Resort,2,203,0.0
456,Alta Ski Area,5,140,0.0
6602,Wintergreen Resort,4,67,0.0
8039,Ski Beech Mountain Resort,2,82,0.0
2438,Mount Brighton,4,37,0.0
1964,Ski Brule,4,1315,0.0
8303,Deer Valley Resort,5,98,0.0
7561,Liberty,3,68,0.0
4108,Ski Brule,4,1315,0.0
2816,Ski Brule,4,1315,0.0
5552,Crested Butte Mountain Resort,5,89,0.0
1999,Tahoe Donner,5,52,0.0
6745,Snow Trails,2,29,0.0
5307,Sunrise Park Resort,5,120,0.0
6633,Sun Valley,5,65,0.0
472,Sno Mountain,5,133,0.0
5499,Indianhead Mountain,4,115,0.0
582,Lutsen Mountains,2,85,0.0
4716,Ski Brule,5,1315,0.0
73,Ski Brule,5,1315,0.0
3929,Spring Mountain Ski Area,5,63,0.0
6197,Discovery Ski Area,5,32,0.0
7100,Arizona Snowbowl,4,107,0.0
1366,Ski Butternut,3,62,0.0
2293,Loon Mountain,5,86,0.0
2608,Magic Mountain,5,38,0.0
3581,Snowshoe Mountain Resort,4,145,0.0
2773,Mount Ashland,5,25,0.0
7462,Ski Brule,5,1315,0.0
1490,Whitecap Mountain,5,52,0.0
1888,Killington Resort,1,203,0.0
6540,Diamond Peak,4,32,0.0
5879,Angel Fire Resort,5,111,0.0
2488,Jay Peak,4,133,0.0
2553,Red River,5,86,0.0
8486,Stowe Mountain Resort,4,106,0.0
4640,Snowbird,5,134,0.0
5366,Blue Mountain Ski Area,4,188,0.0
4969,Steamboat,4,150,0.0
2633,Killington Resort,3,203,0.0
